CardID,Date,Amount
C0100008596,2016/7/11,84.99
C0100008596,2016/6/24,69
C0100008596,2016/3/9,49
C0100008596,2016/1/22,89
C0100008596,2016/2/10,69
C0100008596,2016/3/30,499
C0100008975,2016/8/2,299
C0100008975,2016/9/13,199
C0100008975,2016/4/18,119.99
C0100008975,2016/6/20,699
C0100008975,2016/11/24,139
C0100008975,2016/11/16,3.99
C0100009109,2016/6/8,59.99
C0100009109,2016/3/31,8.49
C0100009109,2016/9/25,69.99
C0100009109,2016/12/2,199
C0100009974,2016/12/14,129
C0100009974,2016/10/2,59
C0100009974,2016/3/7,59
C0100009974,2016/5/22,6.99
C0100010115,2016/5/7,59
C0100010115,2016/4/13,179
C0100010115,2016/10/2,29.99
C0100010115,2016/10/16,39
C0100010135,2016/8/9,299
C0100010135,2016/12/1,6.99
C0100010135,2016/5/6,189
C0100010135,2016/4/18,74
C0100010135,2016/4/14,49.99
C0100010322,2016/5/17,59
C0100010322,2016/4/19,79
C0100010322,2016/11/3,229
C0100010381,2016/12/21,199
C0100010381,2016/11/22,129
C0100010381,2016/5/17,29.99
C0100010723,2016/5/3,39.99
C0100010723,2016/3/17,6.99
C0100010723,2016/3/2,39.99
C0100010871,2016/2/12,99.99
C0100010871,2016/1/23,109
C0100010871,2016/7/30,59.95
C0100010948,2016/8/26,99
C0100010948,2016/3/19,59
C0100010948,2016/4/5,34.95
C0100011031,2016/9/20,229
C0100011031,2016/6/14,94
C0100011221,2016/4/18,49
C0100011221,2016/1/18,39.99
C0100011221,2016/12/20,59
C0100011448,2016/2/12,229
C0100011448,2016/9/20,29.99
C0100011448,2016/10/11,59.99
C0100011592,2016/3/20,39.99
C0100011592,2016/6/15,39
C0100011592,2016/10/2,94
C0100011730,2016/11/29,169
C0100011730,2016/1/22,149
C0100011730,2016/7/23,39.99
C0100011906,2016/5/19,199
C0100011906,2016/2/12,39.95
C0100011906,2016/10/28,239
C0100012379,2016/9/29,129
C0100012502,2016/4/4,9.99
C0100012502,2016/3/10,199
C0100013115,2016/6/13,149
C0100014032,2016/10/7,5.99
C0100014032,2016/12/22,12.99
C0100014032,2016/8/25,9.99
C0100014032,2016/7/16,6.99
C0100014032,2016/8/10,6.99
C0100014032,2016/11/14,14.99
C0100014032,2016/9/27,3.99
C0100014032,2016/9/29,6.99
C0100014032,2016/9/27,24.99
C0100014032,2016/1/7,5.99
C0100014032,2016/3/1,22.99
C0100014032,2016/2/21,59
C0100014032,2016/7/27,1.99
C0100014032,2016/4/20,349
C0100014032,2016/7/28,5.99
C0100014032,2016/9/27,9.99
C0100014088,2016/11/15,9.99
C0100014088,2016/10/22,279
C0100014099,2016/1/19,94
C0100014099,2016/10/25,34.99
C0100014531,2016/11/22,124
C0100014531,2016/3/28,149.99
C0100014610,2016/12/23,99
C0100014610,2016/1/27,26.99
C0100014610,2016/4/14,9.99
C0100014610,2016/2/24,24.99
C0100014706,2016/1/14,59
C0100014706,2016/11/15,259
C0100014706,2016/8/19,119
C0100014706,2016/11/15,259
C0100014706,2016/8/16,9.99
C0100014706,2016/8/19,119
C0100014706,2016/1/14,59
C0100014706,2016/8/16,9.99
C0100015471,2016/12/25,59.99
C0100015471,2016/5/22,279
C0100015705,2016/2/23,79
C0100015705,2016/4/24,79.99
C0100015762,2016/12/8,129
C0100015762,2016/12/9,19.99
C0100015762,2016/8/27,5.99
C0100015762,2016/5/10,159
C0100015958,2016/7/7,64
C0100015958,2016/8/30,89
C0100015958,2016/12/13,199
C0100016095,2016/9/20,7.99
C0100016095,2016/1/30,179
C0100016095,2016/8/20,49
C0100016095,2016/12/29,59
C0100016556,2016/2/18,19.99
C0100016556,2016/12/9,299
C0100016556,2016/5/7,189
C0100016812,2016/3/20,2.99
C0100016812,2016/1/9,44.99
C0100016812,2016/3/12,189
C0100016812,2016/4/17,19.99
C0100016812,2016/6/27,22.99
C0100016812,2016/2/2,59
C0100016812,2016/3/20,34.99
C0100016812,2016/4/1,69
C0100016812,2016/12/2,699
C0100017888,2016/8/14,499
C0100017888,2016/6/9,89
C0100017888,2016/5/6,269
C0100018295,2016/3/30,79.99
C0100018295,2016/9/12,349
C0100018295,2016/6/7,19.99
C0100018295,2016/10/26,14.99
C0100018557,2016/9/5,109
C0100018670,2016/7/16,99
C0100018670,2016/12/17,179
C0100018670,2016/3/11,189
C0100018798,2016/7/1,29.99
C0100018798,2016/2/22,129
C0100018798,2016/12/2,94
C0100018896,2016/8/19,129
C0100019102,2016/8/1,119
C0100019102,2016/6/18,84
C0100019102,2016/11/21,179
C0100019102,2016/1/5,49
C0100019643,2016/8/29,249
C0100019643,2016/2/22,9.99
C0100019643,2016/1/10,79
C0100019754,2016/5/6,34.99
C0100019754,2016/8/28,49.99
C0100019754,2016/4/12,59
C0100019876,2016/10/22,249
C0100019876,2016/6/7,129
C0100020034,2016/2/21,559
C0100020034,2016/10/31,5.99
C0100020034,2016/11/29,19.99
C0100020034,2016/7/31,5.99
C0100020034,2016/6/26,19.99
C0100020034,2016/8/24,8.99
C0100020034,2016/9/24,9.99
C0100020034,2016/3/4,12.49
C0100020034,2016/7/21,2.49
C0100020034,2016/8/29,399
C0100020034,2016/11/29,1.49
C0100020034,2016/7/21,4.99
C0100020034,2016/12/16,6.99
C0100020376,2016/12/30,759
C0100020376,2016/6/22,349
C0100020537,2016/12/25,59
C0100023016,2016/7/25,29.99
C0100023016,2016/7/27,9.99
C0100023016,2016/8/25,39.99
C0100023016,2016/5/25,59.99
C0100023016,2016/1/8,6.99
C0100023305,2016/5/14,44.99
C0100023305,2016/1/27,139
C0100023389,2016/1/7,89
C0100023389,2016/1/7,39.95
C0100023515,2016/4/29,24.99
C0100023515,2016/5/27,49
C0100023634,2016/1/4,109
C0100023634,2016/8/14,199.99
C0100023787,2016/1/18,19.99
C0100023787,2016/1/2,39.95
C0100023787,2016/4/10,15.99
C0100024169,2016/6/10,19
C0100024169,2016/4/29,74
C0100024169,2016/11/15,499
C0100024199,2016/11/23,299
C0100024199,2016/3/20,18.99
C0100024199,2016/10/26,169
C0100024199,2016/5/12,74
C0100024291,2016/9/8,79.99
C0100024291,2016/10/7,169.99
C0100024291,2016/6/19,34.95
C0100024291,2016/8/19,39.99
C0100024291,2016/4/27,129
C0100024291,2016/3/2,24.99
C0100024438,2016/1/22,49
C0100024438,2016/2/3,99
C0100024714,2016/1/7,79
C0100024714,2016/12/26,949
C0100024714,2016/1/30,16.99
C0100024862,2016/7/12,29.99
C0100024862,2016/7/5,2.99
C0100024862,2016/7/29,239
C0100024862,2016/1/24,39
C0100024862,2016/6/11,59
C0100024964,2016/2/25,29.99
C0100024964,2016/1/1,84
C0100024964,2016/4/2,5.99
C0100024964,2016/2/8,349
C0100024964,2016/4/30,199
C0100025376,2016/7/2,59
C0100025376,2016/7/27,124
C0100025376,2016/11/30,59
C0100025376,2016/4/1,349
C0100025376,2016/4/1,349
C0100025376,2016/7/27,124
C0100025376,2016/7/2,59
C0100025376,2016/11/30,59
C0100025442,2016/1/29,109
C0100025442,2016/11/17,79
C0100025501,2016/11/13,659
C0100025501,2016/2/3,29.99
C0100025501,2016/5/20,5.99
C0100025626,2016/9/8,69
C0100025626,2016/7/15,59
C0100025626,2016/5/12,259
C0100025684,2016/3/20,49
C0100025684,2016/5/5,139
C0100025804,2016/7/29,12.99
C0100025804,2016/8/4,1.99
C0100025804,2016/8/23,12.49
C0100025804,2016/7/30,12.99
C0100025804,2016/11/15,14.99
C0100025804,2016/9/29,3.99
C0100025804,2016/5/18,9.99
C0100025804,2016/11/17,24.95
C0100025804,2016/5/7,4.99
C0100025804,2016/10/20,3.99
C0100025804,2016/9/17,6.99
C0100025804,2016/5/7,699
C0100025804,2016/10/29,19.99
C0100025804,2016/9/14,6.99
C0100025804,2016/12/15,3.99
C0100025804,2016/11/13,2.99
C0100025804,2016/7/30,9.99
C0100025804,2016/11/20,2.99
C0100025848,2016/3/6,9.99
C0100025848,2016/3/2,34
C0100025848,2016/12/21,69
C0100025848,2016/8/20,169
C0100025848,2016/3/6,69.95
C0100026120,2016/1/17,8.99
C0100026120,2016/5/4,6.99
C0100026120,2016/6/3,79
C0100026244,2016/5/22,189
C0100026244,2016/12/27,159
C0100026244,2016/1/19,49
C0100026795,2016/3/4,5.99
C0100026795,2016/4/9,12.49
C0100026795,2016/1/12,29.99
C0100026795,2016/6/25,17.99
C0100026795,2016/1/6,399
C0100026795,2016/4/29,59
C0100026795,2016/3/29,5.49
C0100026861,2016/7/27,5.99
C0100026861,2016/8/30,2.99
C0100026861,2016/8/5,24.99
C0100026861,2016/8/14,2.99
C0100026861,2016/12/26,8.99
C0100026861,2016/7/16,9.99
C0100026861,2016/9/24,4.99
C0100026861,2016/7/27,7.49
C0100026861,2016/8/27,9.99
C0100026861,2016/11/22,9.99
C0100026861,2016/10/14,2.49
C0100026861,2016/8/16,2.99
C0100026861,2016/9/22,119.99
C0100026861,2016/10/5,299
C0100026861,2016/10/9,3.49
C0100026861,2016/9/13,3.99
C0100026861,2016/11/27,12.49
C0100027679,2016/4/11,39
C0100027679,2016/12/17,1199
C0100027679,2016/2/18,29.99
C0100027774,2016/10/12,6.99
C0100027774,2016/8/27,59
C0100028230,2016/4/15,9.99
C0100028230,2016/3/19,14.99
C0100028230,2016/5/7,5.99
C0100028230,2016/3/10,5.99
C0100028230,2016/3/14,1.49
C0100028230,2016/5/14,1.49
C0100028230,2016/3/4,12.49
C0100028230,2016/1/9,9.99
C0100028230,2016/1/25,269
C0100028230,2016/3/2,9.99
C0100028230,2016/5/13,39.99
C0100028230,2016/6/4,14.99
C0100028230,2016/4/15,8.99
C0100028230,2016/3/11,13.99
C0100028230,2016/3/31,2.49
C0100028230,2016/5/22,13.99
C0100028230,2016/1/3,5.99
C0100028230,2016/1/2,4.99
C0100028230,2016/1/14,4.99
C0100028230,2016/6/23,4.99
C0100028230,2016/3/25,2.99
C0100028230,2016/3/21,2.99
C0100028230,2016/4/29,6.99
C0100028230,2016/3/4,5.99
C0100028230,2016/1/10,49
C0100028230,2016/6/14,2.99
C0100028230,2016/6/1,3.99
C0100028512,2016/6/17,59
C0100028512,2016/11/6,159
C0100028512,2016/1/12,129
C0100028868,2016/3/29,89
C0100028868,2016/7/3,159
C0100029112,2016/10/5,5.99
C0100029112,2016/10/2,49
C0100029112,2016/10/5,179
C0100029112,2016/2/12,179
C0100029328,2016/12/28,39
C0100029328,2016/6/28,149.99
C0100029328,2016/1/16,109
C0100029479,2016/8/30,25.99
C0100029479,2016/10/31,119.99
C0100029479,2016/4/25,69
C0100029479,2016/4/6,19.99
C0100029479,2016/10/12,29.99
C0100029548,2016/11/21,199
C0100029548,2016/11/21,499
C0100029548,2016/11/30,79.99
C0100030162,2016/5/30,59
C0100030162,2016/12/7,94
C0100030162,2016/1/21,119
C0100031092,2016/2/11,199
C0100031092,2016/8/11,6.99
C0100031092,2016/6/22,129
C0100031383,2016/8/31,34.99
C0100031383,2016/1/11,119.99
C0100031383,2016/7/24,69
C0100031383,2016/3/24,29.99
C0100031493,2016/12/18,279
C0100031493,2016/5/24,159
C0100031634,2016/8/20,79
C0100031634,2016/4/28,49
C0100031634,2016/5/6,229
C0100031634,2016/9/20,34.95
C0100031634,2016/10/28,229
C0100031814,2016/9/6,149
C0100031814,2016/3/13,59
C0100031928,2016/7/15,5.99
C0100031928,2016/9/4,179
C0100031928,2016/1/2,24.99
C0100031928,2016/5/26,19.99
C0100032238,2016/7/1,149.99
C0100032238,2016/11/23,449
C0100032238,2016/5/18,269
C0100032938,2016/1/28,24.99
C0100032938,2016/12/2,249
C0100032938,2016/3/4,79
C0100033194,2016/10/19,69
C0100033194,2016/5/19,179
C0100033194,2016/10/20,79
C0100033609,2016/12/24,49
C0100033676,2016/3/18,179
C0100033676,2016/12/4,279
C0100033717,2016/2/20,89
C0100033717,2016/9/27,499
C0100033864,2016/2/24,89
C0100033864,2016/3/3,13.99
C0100033864,2016/6/9,39
C0100033864,2016/11/23,69
C0100033895,2016/8/28,59
C0100033895,2016/11/4,59.99
C0100033895,2016/3/8,49
C0100034115,2016/6/28,34
C0100034115,2016/12/30,279
C0100034115,2016/1/28,6.99
C0100034115,2016/1/28,14.99
C0100034690,2016/4/28,149
C0100034690,2016/1/26,29
C0100034731,2016/11/20,129
C0100034731,2016/3/2,179
C0100034757,2016/5/25,59
C0100034757,2016/3/13,24.99
C0100034757,2016/3/22,49.99
C0100034825,2016/3/28,29.99
C0100034825,2016/9/17,299
C0100034825,2016/1/28,59.99
C0100034825,2016/2/21,39.95
C0100034977,2016/12/19,84
C0100035241,2016/2/7,79
C0100035241,2016/2/28,119
C0100035412,2016/3/20,349
C0100035412,2016/10/21,249
C0100035738,2016/2/5,149.99
C0100035738,2016/11/12,300
C0100036008,2016/5/22,179
C0100036008,2016/1/15,79
C0100036008,2016/10/11,59
C0100036008,2016/7/4,19.99
C0100036143,2016/2/12,49.99
C0100036143,2016/6/18,179
C0100036143,2016/7/24,249
C0100036143,2016/5/8,39.99
C0100036192,2016/9/25,139.99
C0100036192,2016/6/26,269
C0100036380,2016/5/10,24.99
C0100036380,2016/8/16,24.99
C0100036380,2016/9/10,5.49
C0100036380,2016/6/2,44.99
C0100036380,2016/10/4,39
C0100036677,2016/6/23,139
C0100036677,2016/3/9,74
C0100036915,2016/3/12,149.99
C0100036915,2016/7/7,129
C0100037034,2016/4/4,299
C0100037034,2016/11/28,124
C0100037472,2016/8/19,89
C0100037472,2016/9/21,19.99
C0100037472,2016/4/16,26.99
C0100037472,2016/9/17,2.99
C0100037472,2016/2/20,59.95
C0100037472,2016/2/28,269
C0100037472,2016/9/17,169
C0100037472,2016/10/7,129
C0100037472,2016/7/16,3.99
C0100037472,2016/3/8,49
C0100037472,2016/7/9,1.99
C0100037472,2016/7/9,8.99
C0100037472,2016/4/15,49
C0100037472,2016/2/13,49
C0100037472,2016/7/24,49
C0100037658,2016/11/25,189
C0100037745,2016/7/29,49
C0100037745,2016/3/29,34.99
C0100037745,2016/8/1,12.49
C0100037767,2016/9/12,19.99
C0100037767,2016/5/3,124
C0100037767,2016/7/1,59
C0100037812,2016/9/12,6.99
C0100037812,2016/9/29,49
C0100037812,2016/4/22,119.99
C0100038179,2016/7/16,39
C0100038179,2016/10/17,39
C0100038179,2016/7/23,349
C0100038720,2016/6/27,139.99
C0100039107,2016/7/17,29
C0100039107,2016/8/5,9.99
C0100039107,2016/3/9,3.99
C0100039107,2016/12/17,2.49
C0100039107,2016/3/4,94
C0100039107,2016/1/27,79
C0100039329,2016/6/24,449
C0100039612,2016/8/21,39
C0100039612,2016/9/28,24.95
C0100039612,2016/1/27,49
C0100039612,2016/8/7,59.99
C0100039696,2016/9/21,249
C0100039696,2016/2/10,49
C0100039696,2016/9/19,59
C0100039837,2016/4/5,3.99
C0100039837,2016/2/26,49
C0100039837,2016/5/8,39.95
C0100039837,2016/11/14,129
C0100040254,2016/2/3,94
C0100040254,2016/11/26,339
C0100040305,2016/7/26,199
C0100040305,2016/6/17,69
C0100040305,2016/4/5,139
C0100040510,2016/6/18,4.99
C0100040510,2016/6/18,3.99
C0100040510,2016/12/14,3.99
C0100040510,2016/2/4,5.99
C0100040510,2016/6/12,3.99
C0100040510,2016/3/16,9.99
C0100040510,2016/8/27,3.99
C0100040510,2016/12/20,129
C0100040510,2016/9/11,17.99
C0100040510,2016/2/16,12.99
C0100040510,2016/1/12,2.99
C0100040510,2016/7/20,2.99
C0100040510,2016/1/31,169
C0100040510,2016/3/7,8.99
C0100040510,2016/8/27,19.99
C0100040510,2016/2/16,239
C0100040510,2016/9/2,29.99
C0100040510,2016/6/4,5.49
C0100040510,2016/8/30,2.49
C0100040510,2016/1/12,2.49
C0100040510,2016/4/8,12.49
C0100040510,2016/6/10,24.95
C0100040510,2016/10/11,9.99
C0100040510,2016/5/16,2.99
C0100040510,2016/4/8,14.99
C0100040510,2016/5/22,2.99
C0100040510,2016/2/6,14.99
C0100040510,2016/8/10,18.99
C0100040807,2016/6/21,34.99
C0100040807,2016/7/29,29.99
C0100040807,2016/9/12,59
C0100040807,2016/8/8,14.99
C0100041032,2016/11/1,69
C0100041032,2016/8/25,49.99
C0100041032,2016/1/7,259
C0100041438,2016/8/31,49.99
C0100041438,2016/4/22,4.99
C0100041438,2016/12/30,59.99
C0100041438,2016/6/19,12.99
C0100041438,2016/5/26,39
C0100041438,2016/1/26,12.99
C0100041438,2016/2/27,6.99
C0100041438,2016/1/5,6.99
C0100041438,2016/8/22,149
C0100041438,2016/3/26,1.99
C0100041438,2016/1/30,22.99
C0100041438,2016/7/19,239
C0100041438,2016/5/11,9.99
C0100041438,2016/2/27,299
C0100041438,2016/1/25,19.99
C0100041742,2016/12/13,349
C0100041742,2016/2/22,24.99
C0100041742,2016/4/16,59
C0100042285,2016/1/4,69
C0100042400,2016/9/30,34.99
C0100042407,2016/3/18,59
C0100042407,2016/8/9,4.99
C0100042407,2016/5/19,94
C0100042407,2016/11/9,349
C0100042407,2016/8/19,25.99
C0100042446,2016/3/20,39
C0100042446,2016/2/14,219
C0100042563,2016/5/19,44
C0100042563,2016/12/8,99.99
C0100042882,2016/6/24,169
C0100043022,2016/3/8,119.99
C0100043022,2016/1/11,29.99
C0100043022,2016/8/9,99
C0100043022,2016/9/9,4.99
C0100043040,2016/2/9,129
C0100043040,2016/5/13,24.99
C0100043040,2016/11/28,189
C0100043364,2016/6/28,89
C0100043364,2016/6/28,89
C0100043364,2016/7/7,49.99
C0100043364,2016/7/6,299
C0100043364,2016/7/6,299
C0100043364,2016/8/16,69.95
C0100043364,2016/7/7,49.99
C0100043364,2016/8/16,69.95
C0100043861,2016/10/11,189
C0100043861,2016/6/2,349
C0100044359,2016/4/22,59
C0100044359,2016/11/17,219
C0100044375,2016/3/12,39.99
C0100044375,2016/2/8,3.99
C0100044375,2016/6/1,5.49
C0100044375,2016/7/12,24.99
C0100044662,2016/8/19,159
C0100044662,2016/6/26,249
C0100044662,2016/8/29,759
C0100044680,2016/5/16,44.99
C0100044680,2016/11/14,149
C0100044680,2016/4/11,49.99
C0100044680,2016/10/21,59.99
C0100045044,2016/8/26,29.99
C0100045044,2016/3/14,29.99
C0100045044,2016/1/25,84.99
C0100045044,2016/9/15,449
C0100045044,2016/3/29,34.99
C0100045140,2016/11/23,59
C0100045140,2016/7/31,9.99
C0100045140,2016/3/24,249
C0100045315,2016/6/2,18.99
C0100045315,2016/2/7,14.99
C0100045315,2016/11/16,29.99
C0100045315,2016/6/19,34.99
C0100045315,2016/9/1,119.99
C0100045649,2016/10/27,129
C0100045668,2016/4/19,189
C0100045668,2016/11/20,399
C0100045728,2016/11/12,259
C0100045728,2016/2/3,69.99
C0100045876,2016/12/22,4.99
C0100045876,2016/10/25,1.49
C0100045876,2016/11/1,34.99
C0100045876,2016/11/21,8.99
C0100045876,2016/9/16,17.99
C0100045876,2016/10/4,99
C0100045876,2016/11/25,5.99
C0100045876,2016/8/11,259
C0100045876,2016/7/30,19.99
C0100045876,2016/12/21,4.99
C0100046511,2016/8/27,399
C0100046511,2016/5/8,109
C0100046905,2016/12/25,94
C0100046905,2016/7/24,34.99
C0100046905,2016/5/22,349
C0100047465,2016/9/18,3.99
C0100047465,2016/8/2,59
C0100047465,2016/3/15,59
C0100047987,2016/5/16,19.99
C0100047987,2016/6/4,99
C0100047987,2016/9/11,59
C0100048089,2016/9/30,3.99
C0100048089,2016/9/14,8.99
C0100048089,2016/5/29,599
C0100048125,2016/5/29,14.99
C0100048125,2016/3/7,14.99
C0100048125,2016/4/14,5.99
C0100048125,2016/1/27,3.99
C0100048125,2016/1/22,22.99
C0100048125,2016/1/7,5.99
C0100048125,2016/3/30,5.99
C0100048125,2016/1/28,4.99
C0100048125,2016/5/20,8.99
C0100048125,2016/2/26,4.99
C0100048125,2016/1/10,2.49
C0100048125,2016/5/23,1.49
C0100048125,2016/5/29,2.99
C0100048125,2016/1/22,2.99
C0100048125,2016/6/3,199
C0100048125,2016/3/7,2.49
C0100048125,2016/5/14,6.99
C0100048125,2016/1/3,9.99
C0100048125,2016/6/3,5.99
C0100048125,2016/2/25,4.99
C0100048125,2016/2/21,4.99
C0100048125,2016/3/9,3.99
C0100048125,2016/6/7,14.99
C0100048125,2016/3/30,4.99
C0100048125,2016/2/21,14.99
C0100048125,2016/4/18,14.99
C0100048125,2016/3/14,3.99
C0100048383,2016/10/16,79
C0100048383,2016/4/21,124
C0100048383,2016/6/18,49
C0100048383,2016/10/14,6.99
C0100048383,2016/10/10,79.99
C0100048383,2016/5/21,8.99
C0100048487,2016/10/8,19.99
C0100048487,2016/6/1,19.99
C0100048487,2016/3/29,129
C0100048487,2016/8/17,49.99
C0100048487,2016/7/12,139.99
C0100048835,2016/2/1,64
C0100048835,2016/7/12,59.99
C0100049638,2016/9/3,6.99
C0100049638,2016/7/27,24.99
C0100049638,2016/7/6,179
C0100050373,2016/6/16,179
C0100050373,2016/7/1,29.99
C0100050373,2016/7/1,29.99
C0100050373,2016/9/17,59
C0100050373,2016/8/22,59
C0100050373,2016/8/22,59
C0100050373,2016/6/16,179
C0100050373,2016/9/17,59
C0100050607,2016/10/27,49
C0100050607,2016/11/9,94
C0100050607,2016/11/6,17.99
C0100050881,2016/2/24,44.99
C0100050881,2016/11/30,189
C0100050881,2016/9/22,44.99
C0100050881,2016/2/11,29.99
C0100050881,2016/4/14,39.95
C0100051040,2016/12/26,59
C0100051340,2016/7/15,89
C0100051340,2016/6/21,199
C0100051340,2016/12/2,49.99
C0100051340,2016/8/4,19.99
C0100051340,2016/3/16,49
C0100051612,2016/5/23,13.99
C0100051612,2016/11/5,199
C0100051612,2016/4/11,69
C0100052332,2016/11/7,949
C0100052332,2016/5/1,149
C0100052526,2016/1/25,99
C0100052526,2016/7/26,84
C0100052526,2016/6/29,24.95
C0100053026,2016/12/30,9.99
C0100053026,2016/10/15,9.99
C0100053026,2016/10/15,4.99
C0100053026,2016/10/17,5.99
C0100053026,2016/12/26,3.99
C0100053026,2016/11/15,5.99
C0100053026,2016/11/3,2.99
C0100053026,2016/11/10,9.99
C0100053026,2016/12/30,149.99
C0100053026,2016/12/28,2.99
C0100053026,2016/11/27,3.99
C0100053026,2016/12/28,34.95
C0100053395,2016/12/5,639
C0100053395,2016/3/2,19.99
C0100053395,2016/1/22,6.99
C0100053395,2016/1/3,99
C0100053859,2016/10/20,39
C0100053859,2016/3/3,119.99
C0100053859,2016/10/27,24.99
C0100054367,2016/7/18,1.99
C0100054367,2016/12/22,12.99
C0100054367,2016/7/4,8.99
C0100054367,2016/11/12,14.99
C0100054367,2016/9/3,3.49
C0100054367,2016/5/2,9.99
C0100054367,2016/4/22,259
C0100054367,2016/3/23,9.99
C0100054367,2016/5/4,4.99
C0100054367,2016/3/13,39
C0100054367,2016/3/17,2.49
C0100054367,2016/4/5,9.99
C0100054367,2016/5/18,2.99
C0100054367,2016/11/4,4.99
C0100054367,2016/8/1,2.99
